URN;Name;Street;Locality;Address;Town;County;Postcode;Number
116308;Preston Candover Church of England Primary School;Preston Candover;;;Basingstoke;Hampshire;RG25 2EE;1256389278
116309;Ringwood Church of England Infant School;School Lane;;;Ringwood;Hampshire;BH24 1LG;1425473829
116310;Rowlands Castle St John's Church of England Controlled Primary School;Whichers Gate Road;;;Rowland's Castle;Hampshire;PO9 6BB;2392412095
116311;Rownhams St John's Church of England Primary School;Bakers Drove;Rownhams;;Southampton;Hampshire;SO16 8AD;2380736417
116312;Ropley CofE Primary School;Church Street;Ropley;;Alresford;Hampshire;SO24 0DS;1962772381
116313;Sarisbury Church of England Junior School;Allotment Road;Sarisbury Green;;Southampton;Hampshire;SO31 7AP;1489573000
116314;St John the Baptist Church of England Primary School;Solomons Lane;Waltham Chase;;Southampton;Hampshire;SO32 2LY;1329833141
116315;Sherborne St John Church of England Primary School;Church Lane;Sherborne St John;;Basingstoke;Hampshire;RG24 9HT;1256850180
116316;South Baddesley Church of England Primary School;South Baddesley;;;Lymington;Hampshire;SO41 5RP;1590626243
116317;Sparsholt Church of England Primary School;Woodman Lane;;Sparsholt;Winchester;Hampshire;SO21 2NR;1962776264
116318;St Luke's Church of England Primary School;West Beams Road;Sway;;Lymington;Hampshire;SO41 6AE;1590682431
116319;Steep Church of England Voluntary Controlled Primary School;95 Church Road;Steep;95 - 97 Church Road;Petersfield;Hampshire;GU32 2DE;1730263988
116320;Twyford St Mary's Church of England Primary School;School Road;Twyford;;Winchester;Hampshire;SO21 1QQ;1962713358
116321;Vernham Dean Gillum's Church of England Primary School;Vernham Dean;;;Andover;Hampshire;SP11 0JY;1264737241
116322;West Meon Church of England Voluntary Controlled Primary School;Church Lane;West Meon;;Petersfield;Hampshire;GU32 1LF;1730829213
116323;West Tytherley Church of England Primary School;West Tytherley;The Village;;Salisbury;Wiltshire;SP5 1JX;1794340338
116324;Whitchurch Church of England Primary School;Daniel Road;;;Whitchurch;Hampshire;RG28 7LS;1256892755
116325;Wickham Church of England Primary School;Buddens Road;Wickham;;Fareham;Hampshire;PO17 5HU;1329833065
116326;All Saints Church of England Primary School;St Catherine's Road;;;Winchester;Hampshire;SO23 0PS;1962853179
116327;Western Church of England Primary School;Browning Drive;;;Winchester;Hampshire;SO22 5AR;1962852591
116328;"St Thomas' Church of England Infant School; Woolton Hill";Woolton Hill;;;Newbury;Berkshire;RG20 9XF;1635253431
116329;St Bede Church of England Primary School;Gordon Road;;;Winchester;Hampshire;SO23 7DD;1962852463
116330;Liphook Church of England Controlled Junior School;Avenue Close;;;Liphook;Hampshire;GU30 7QE;1428722490
116331;Saint James' Church of England Primary School;Moorgreen Road;West End;;Southampton;Hampshire;SO30 3EG;2380900995
116332;St Michael's Church of England Controlled Infant School;Park Road;;;Aldershot;Hampshire;GU11 3PU;1252324300
116333;St Michael's Church of England Controlled Junior School;Church Lane East;;;Aldershot;Hampshire;GU11 3SS;1252322933
116334;Leesland Church of England Controlled Junior School;Gordon Road;;;Gosport;Hampshire;PO12 3QF;2392580962
116335;Leesland Church of England Controlled Infant School;Whitworth Road;;;Gosport;Hampshire;PO12 3NL;2392583872
116336;Newtown Church of England Voluntary Controlled Primary School;Queen's Road;;;Gosport;Hampshire;PO12 1JD;2392584048
116337;Rowledge Church of England Controlled Primary School;School Road;Rowledge;;Farnham;Surrey;GU10 4BW;1252792346
116338;Bartley Church of England Junior School;Winsor Road;Bartley;;Southampton;Hampshire;SO40 2HR;2380812173
116345;Whitewater Church of England Primary School;The Street;Rotherwick;;Hook;Hampshire;RG27 9BG;1256762637
116347;The Holme Church of England Controlled Primary School;Openfields;Headley;;Bordon;Hampshire;GU35 8PQ;
116348;Amport Church of England Primary School;The Green;Amport;;Andover;Hampshire;SP11 8BA;1264772396
116349;Appleshaw St Peter's CofE Primary School;Ragged Appleshaw;;;Andover;Hampshire;SP11 9HR;1264772210
116350;St Mary's Church of England Voluntary Aided Junior School;Belle Vue Road;Old Basing;;Basingstoke;Hampshire;RG24 7DE;1256465092
116351;St Mary's Bentworth Church of England Primary School;Church Street;Bentworth;;Alton;Hampshire;GU34 5RE;1420562117
116352;St Matthew's Church of England Aided Primary School;Drift Road;Blackmoor;;Liss;Hampshire;GU33 6BN;1420472844
116353;William Gilpin Church of England Primary School;Pilley Hill;Boldre;;Lymington;Hampshire;SO41 5QG;1590673460
116354;Compton All Saints Church of England Primary School;Compton Street;Compton;;Winchester;Hampshire;SO21 2AS;1962712035
116355;Dogmersfield Church of England Primary School;Chatter Alley;Dogmersfield;;Hook;Hampshire;RG27 8SS;1252616345
116356;St Martin's East Woodhay Church of England (Aided) Primary School;East End;;;Newbury;Berkshire;RG20 0AF;1635597796
116357;Charles Kingsley's Church of England Primary School;Glaston Hill Road;Eversley;;Hook;Hampshire;RG27 0LX;1189732187
116358;All Saints Church of England Aided Junior School;Leawood Road;;;Fleet;Hampshire;GU51 5AJ;1252615428
116359;Hatherden Church of England Primary School;Hatherden Lane;Hatherden;;Andover;Hampshire;SP11 0HT;1264735260
116360;Andrews' Endowed Church of England Primary School;92 London Road;Holybourne;;Alton;Hampshire;GU34 4EL;142083094
116361;John Keble Church of England Primary School;Hursley Park Road;Hursley;;Winchester;Hampshire;SO21 2LA;1962775241
116362;St Alban's Church of England Aided Primary School;St Alban's Road;West Leigh;;Havant;Hampshire;PO9 2JX;2392482072
116363;Lockerley Church of England Endowed Primary School;Butts Green;Lockerley;;Romsey;Hampshire;SO51 0JG;1794340485
116364;Longparish Church of England Primary School;Longparish;;;Andover;Hampshire;SP11 6PB;1264720317
116365;Lymington Church of England Infant School;Avenue Road;;;Lymington;Hampshire;SO41 9GP;1590673355
116366;St Michael and All Angels CofE Infant School;High Street;;;Lyndhurst;Hampshire;SO43 7BB;2380282244
116367;Milford-on-Sea Church of England Primary School;Lymington Road;Milford-on-Sea;;Lymington;Hampshire;SO41 0RF;
116368;Romsey Abbey Church of England Primary School;Church Lane;;;Romsey;Hampshire;SO51 8EP;1794512047
116369;Silchester Church of England Primary School;School Lane;Silchester;;Reading;Berkshire;RG7 2NJ;1189700256
116370;Smannell and Enham Church of England (Aided) Primary School;Smannell;;;Andover;Hampshire;SP11 6JJ;1264323201
116371;Swanmore Church of England Aided Primary School;Church Road;Swanmore;;Southampton;Hampshire;SO32 2PA;1489894555
116372;Upham Church of England Aided Primary School;Upham Street;Upham;;Southampton;Hampshire;SO32 1JD;1489860355
116373;Clatford Church of England Primary School;Village Street;Goodworth Clatford;;Andover;Hampshire;SP11 7RE;1264352091
116374;St Faith's Church of England Primary School;St Faith's Road;St Cross;;Winchester;Hampshire;SO23 9QB;1962854934
116375;"Kimpton; Thruxton and Fyfield Church of England Primary School";Thruxton Hill;Kimpton;;Andover;Hampshire;SP11 8NT;1264772297
116376;St Jude's Catholic Primary School;Bishopsfield Road;;;Fareham;Hampshire;PO14 1ND;1329235131
116377;"St Thomas More's Catholic Primary School; Havant";Hooks Lane;Bedhampton;;Havant;Hampshire;PO9 3DR;2392475909
116378;Our Lady and St Joseph Catholic Primary School;"Our Lady and St Joseph Catholic Primary School; 83a Ramley Road";Pennington;;Lymington;Hampshire;SO41 8GY;1590672711
116379;St Anne's Catholic Primary School;Pinkerton Road;South Ham;;Basingstoke;Hampshire;RG22 6RE;
116380;St Bede's Catholic Primary School;Popley Way;;;Basingstoke;Hampshire;RG24 9DX;1256533079
116381;"St Peter's Catholic Primary School; Winchester";Oliver's Battery Road North;;;Winchester;Hampshire;SO22 4JB;1962852820
116382;"St John the Baptist Catholic Primary School; Andover";Floral Way;Salisbury Road;;Andover;Hampshire;SP10 3PF;1264361806
116383;"St Swithun Wells Catholic Primary School; Chandlers Ford";Hillcrest Avenue;Chandler's Ford;;Eastleigh;Hampshire;SO53 2JP;2380266210
116387;Western Downland Church of England Aided Primary School;"Western Downland Church of England Aided Primary School; Rockbourne";;;Fordingbridge;Hampshire;SP6 3NA;1725518233
116388;St Peter's Church of England Aided Junior School;Church Avenue;;;Farnborough;Hampshire;GU14 7AP;1252543320
116389;St Mark's Church of England Aided Primary School;Queen's Road;;;Farnborough;Hampshire;GU14 6DU;1252544155
116390;St Patrick's Catholic Primary School;Whitefriars;Avenue Road;;Farnborough;Hampshire;GU14 7BW;1252542511
116391;St Bernadette's Catholic Primary School;Tile Barn Close;Cove;;Farnborough;Hampshire;GU14 8LS;1252548123
116392;Alverstoke Church of England Aided Junior School;The Avenue;Alverstoke;;Gosport;Hampshire;PO12 2JS;2392580450
116393;"St John's; Gosport Church of England Voluntary Aided Primary School";Grove Road;;;Gosport;Hampshire;PO12 4JH;2392582404
116394;St Mary's Catholic Primary School;Ann's Hill Road;;;Gosport;Hampshire;PO12 3NB;2392583979
116399;Selborne Church of England Primary School;School Lane;Selborne;;Alton;Hampshire;GU34 3JA;1420511213
116400;St John's Church of England Voluntary Aided Primary School;Kingsmill Road;;;Basingstoke;Hampshire;RG21 3JU;1256324121
116401;St Anthony's Catholic Primary School;Primate Road;Titchfield Common;;Fareham;Hampshire;PO14 4RP;
116402;St Francis Church of England Primary School;Pilgrims Close;Valley Park;Chandler's Ford;Eastleigh;Hampshire;SO53 4ST;2380271178
116403;Crookham Church of England Aided Infant School;Gallyhill Road;Church Crookham;;Fleet;Hampshire;GU52 6PU;1252615547
116404;Eggar's School;London Road;Holybourne;;Alton;Hampshire;GU34 4EQ;
116405;John Hanson Community School;Floral Way;;;Andover;Hampshire;SP10 3PB;1264352546
116406;Costello Technology College;Crossborough Hill;London Road;;Basingstoke;Hampshire;RG21 4AL;
116407;The Westgate School;Cheriton Road;;;Winchester;Hampshire;SO22 5AZ;1962854757
116408;The Mountbatten School A Language and Sports College;Whitenap Lane;;;Romsey;Hampshire;SO51 5SY;
116409;Amery Hill School;Amery Hill;;;Alton;Hampshire;GU34 2BZ;
116410;Cowplain Community School;Hart Plain Avenue;Cowplain;;Waterlooville;Hampshire;PO8 8RY;
116411;The Toynbee School;Bodycoats Road;Chandler's Ford;;Eastleigh;Hampshire;SO53 2PL;2380269026
116412;Court Moor School;Spring Woods;;;Fleet;Hampshire;GU52 7RY;1252615065
116413;The Hamble School;Satchell Lane;Hamble-le-Rice;;Southampton;Hampshire;SO31 4NE;2380452105
116414;Wildern School;Wildern Lane;Hedge End;;Southampton;Hampshire;SO30 4EJ;
116415;Noadswood School;North Road;Dibden Purlieu;;Southampton;Hampshire;SO45 4ZF;
116416;Priestlands School;North Street;Pennington;;Lymington;Hampshire;SO41 8FZ;
116417;Perins School A Community Sports College;Pound Hill;;;Alresford;Hampshire;SO24 9BS;
116418;Portchester Community School;White Hart Lane;Portchester;;Fareham;Hampshire;PO16 9BD;2392364399
116419;Brookfield Community School;Brook Lane;Sarisbury Green;;Southampton;Hampshire;SO31 7DU;1489576335
116420;Mill Chase Community Technology College;Mill Chase Road;;;Bordon;Hampshire;GU35 0ER;
116421;The Romsey School;Greatbridge Road;;;Romsey;Hampshire;SO51 8ZB;
116422;The Hurst School;Brimpton Road;Baughurst;;Tadley;Hampshire;RG26 5NL;1189817474
116423;The Hayling College;Church Road;;;Hayling Island;Hampshire;PO11 0NU;2392466241
116424;Swanmore College;New Road;Swanmore;;Southampton;Hampshire;SO32 2RB;1489892256
116425;Quilley School;Cherbourg Road;;;Eastleigh;Hampshire;SO50 5EL;
116426;Test Valley School;Roman Road;;;Stockbridge;Hampshire;SO20 6HA;1264810555
116427;Aldworth School;Western Way;;;Basingstoke;Hampshire;RG22 6HA;1256322691
116428;Crookhorn College;Stakes Hill Road;;;Waterlooville;Hampshire;PO7 5UD;2392251120
116429;Wyvern Technology College;Botley Road;Fair Oak;;Eastleigh;Hampshire;SO50 7AN;
116430;The Clere School;Earlstone Common;Burghclere;;Newbury;Berkshire;RG20 9HP;1635278372
116431;Harrow Way Community School;Harrow Way;;;Andover;Hampshire;SP10 3RH;1264364533
116432;Cranbourne;Wessex Close;;;Basingstoke;Hampshire;RG21 3NP;1256868600
116433;Yateley School;School Lane;;;Yateley;Hampshire;GU46 6NW;1252879222
116434;Hounsdown School;Jacobs Gutter Lane;Totton;;Southampton;Hampshire;SO40 9FT;
116435;Everest Community College;Oxford Way;;;Basingstoke;Hampshire;RG24 9UP;
116436;Calthorpe Park School;Hitches Lane;;;Fleet;Hampshire;GU51 5JA;1252613483
116437;Horndean Technology College;Barton Cross;Horndean;;Waterlooville;Hampshire;PO8 9PQ;2392594325
116438;Henry Beaufort School;Priors Dean Road;Harestock;;Winchester;Hampshire;SO22 6JJ;1962880073
116439;Thornden School;Winchester Road;Chandler's Ford;;Eastleigh;Hampshire;SO53 2DW;
116440;The Vyne Community School;Vyne Road;;;Basingstoke;Hampshire;RG21 5PB;1256473003
116441;Brighton Hill Community School;Brighton Way;;;Basingstoke;Hampshire;RG22 4HS;1256350606
116442;Frogmore Community College;Potley Hill Road;;;Yateley;Hampshire;GU46 6AG;1252408444
116443;Winton School;London Road;;;Andover;Hampshire;SP10 2PS;
116444;Fort Hill Community School;Kenilworth Road;Winklebury;;Basingstoke;Hampshire;RG23 8JQ;
116445;Crestwood Community School;Shakespeare Road;Boyatt Wood;;Eastleigh;Hampshire;SO50 4FZ;2380641232
116446;Cove School;St John's Road;Cove;;Farnborough;Hampshire;GU14 9RN;1252542397
116447;Fernhill School;Neville Duke Road;;;Farnborough;Hampshire;GU14 9BY;1276702540
116448;The Wavell School;Lynchford Road;;;Farnborough;Hampshire;GU14 6BH;1252341256
116449;Oak Farm Community School;Ballantyne Road;;;Farnborough;Hampshire;GU14 8SS;
116466;The Henry Cort Community College;Hillson Drive;;;Fareham;Hampshire;PO15 6PH;1329843127
116467;The Neville Lovett Community School and Continuing Education Centre;St Anne's Grove;;;Fareham;Hampshire;PO14 1JJ;
116468;Kings' School;Romsey Road;;;Winchester;Hampshire;SO22 5PN;1962861161
116470;The Connaught School;Tongham Road;;;Aldershot;Hampshire;GU12 4AS;
116471;Bridgemary School;Wych Lane;Bridgemary;;Gosport;Hampshire;PO13 0JN;
116472;Brune Park Community School;Military Road;;;Gosport;Hampshire;PO12 3BU;
116473;Park Community School;Middle Park Way;Leigh Park;;Havant;Hampshire;PO9 4BU;2392489800
116474;Staunton Community Sports College;Wakefords Way;;;Havant;Hampshire;PO9 5JD;
116475;Warblington School;Southleigh Road;;;Havant;Hampshire;PO9 2RR;2392475480
116477;Robert May's School;West Street;Odiham;;Hook;Hampshire;RG29 1NA;
116478;Bishop Challoner Catholic Secondary School;St Michael's Road;;;Basingstoke;Hampshire;RG22 6SR;1256462661
116480;Front Lawn Junior School;Broadmere Avenue;Leigh Park;;Havant;Hampshire;PO9 5HX;
116481;The Priory Primary School;Pamber End;;;Tadley;Hampshire;RG26 5QD;
116482;Abbotswood Junior School;Ringwood Road;Totton;;Southampton;Hampshire;SO40 8EB;2380863159
116483;Calmore Junior School;Calmore Drive;Calmore;;Southampton;Hampshire;SO40 2ZZ;2380865354
116484;St Joseph's Catholic Primary School;Bridge Road;;;Aldershot;Hampshire;GU11 3DD;
116485;Blackfield Primary School;Hampton Lane;Blackfield;;Southampton;Hampshire;SO45 1XA;
116486;Hordle CofE (VA) Primary School;Hordle Lane;Hordle;;Lymington;Hampshire;SO41 0FB;1425611657
116488;Ashley Junior School;Normans Way;Ashley Road;Ashley;New Milton;Hampshire;BH25 5FN;1425616510
116489;"St Peter's Catholic Primary School; Waterlooville";Stakes Hill Road;;;Waterlooville;Hampshire;PO7 7BP;2392262599
116490;Mill Rythe Infant School;Havant Road;;;Hayling Island;Hampshire;PO11 0PA;2392465531
116492;St Peter's CofE Junior School;Stilwell Close;;;Yateley;Hampshire;GU46 6XH;
116493;Hardley School and Sixth Form;Long Lane;Holbury;;Southampton;Hampshire;SO45 2PA;
116494;The Burgate School and Sixth Form Centre;Salisbury Road;;;Fordingbridge;Hampshire;SP6 1EZ;
116495;The Arnewood School;Gore Road;;;New Milton;Hampshire;BH25 6RS;
116496;Ringwood School;Parsonage Barn Lane;;;Ringwood;Hampshire;BH24 1SE;
116498;Crofton School;Marks Road;Stubbington;;Fareham;Hampshire;PO14 2AT;1329664251
116499;Testwood Sports College;Testwood Lane;Totton;;Southampton;Hampshire;SO40 3ZW;
116500;Bohunt School;Longmoor Road;;;Liphook;Hampshire;GU30 7NY;
116501;Bay House School;Gomer Lane;;;Gosport;Hampshire;PO12 2QP;
116502;Testbourne Community School;Micheldever Road;;;Whitchurch;Hampshire;RG28 7JF;1256892061
116503;Oaklands Catholic School;Stakes Hill Road;;;Waterlooville;Hampshire;PO7 7BW;
116504;Applemore College;Roman Road;Dibden Purlieu;;Southampton;Hampshire;SO45 4RQ;2380848804
116506;Purbrook Park School;Park Avenue;Purbrook;;Waterlooville;Hampshire;PO7 5DS;2392370351
116508;Cams Hill School;Shearwater Avenue;;;Fareham;Hampshire;PO16 8AH;
116510;The Petersfield School;Cranford Road;;;Petersfield;Hampshire;GU32 3LU;
116511;Osborne School;Athelstan Road;;;Winchester;Hampshire;SO23 7GA;1962854537
116512;Mayfield School;The White House;103 Anstey Road;;Alton;Hampshire;GU34 2RN;
116513;Rookwood School;Weyhill Road;;;Andover;Hampshire;SP10 3AL;1264325900
116514;Sherborne House School;39 Lakewood Road;Chandler's Ford;;Eastleigh;Hampshire;SO53 1EU;2380252440
116515;Embley;Embley Park;;;Romsey;Hampshire;SO51 6ZE;1794512206
116516;St Neot's School;St Neot's Road;Eversley;;Hook;Hampshire;RG27 0PN;1189732118
116517;Farnborough Hill;Farnborough Road;;;Farnborough;Hampshire;GU14 8AT;1252545197
116518;St Nicholas' School;Redfields House;Redfields Lane;Church Crookham;Fleet;Hampshire;GU52 0RF;1252850121
116519;Forres Sandle Manor School;Sandle Manor;;;Fordingbridge;Hampshire;SP6 1NS;1425653181
116520;Cheam School;Headley;Thatcham;Berkshire;Thatcham;;RG19 8LD;1635268242
116521;Lord Wandsworth College;Long Sutton;;;Hook;Hampshire;RG29 1TB;1256862201
116522;Durlston Court School;Becton Lane;Barton-on-Sea;Becton Lane Barton On Sea;New Milton;Hampshire;BH25 7AQ;1425610010
116524;Ballard School;Fernhill Lane;;;New Milton;Hampshire;BH25 5SU;1425626900
116525;Walhampton School;;;;Lymington;Hampshire;SO41 5ZG;1590613300
116526;Horris Hill School;Newtown;;Horris Hill Newtown;Newbury;Berkshire;RG20 9DJ;163540594
116527;Bedales School;Church Road;Steep;;Petersfield;Hampshire;GU32 2DG;1730300100
116528;"Stroud; the King Edward VI Preparatory School";Highwood House;Highwood Lane;;Romsey;Hampshire;SO51 9ZH;1794513231
116529;North Foreland Lodge School;;Sherfield-on-Loddon;;Hook;Hampshire;RG27 0HT;
116530;Norman Court;West Tytherley;;;Salisbury;Wiltshire;SP5 1NH;
116531;Rookesbury Park School;Southwick Road;Wickham;;Fareham;Hampshire;PO17 6HT;
116532;Winchester College;College Street;;;Winchester;Hampshire;SO23 9NA;1962621100
116533;Nethercliffe School;Hatherley Road;;;Winchester;Hampshire;SO22 6RS;
116534;St Swithuns;Alresford Road;Winchester;;;;SO21 1HA;1962835700
116535;The Pilgrims School;3 The Close;;;Winchester;Hampshire;SO23 9LT;1962854189
116536;Twyford School;High Street;Twyford;;Winchester;Hampshire;SO21 1NW;1962712269
116537;Alton School;Anstey Lane;;;Alton;Hampshire;GU34 2NG;142082070
116538;Marycourt School;27 Crescent Road;Alverstoke;;Gosport;Hampshire;PO12 2DJ;
116539;St Benedict's Convent School;Penton Lodge;;;Andover;Hampshire;SP11 0RD;
116540;Woodhill Preparatory School;Brook Lane;;;Botley;Hampshire;SO30 2ER;
116541;Wykeham House School;East Street;;;Fareham;Hampshire;PO16 0BW;
116542;Farleigh School;Red Rice;;Farleigh School;Andover;Hampshire;SP11 7PW;1264710766
116543;Salesian College;119 Reading Road;;;Farnborough;Hampshire;GU14 6PA;1252893000
116544;Rushmoor Independent Preparatory School;40 Reading Road;;;Farnborough;Hampshire;GU14 6NB;
116545;St Anne's School;13 MILVIL Road;;;Lee-on-the-Solent;Hampshire;PO13 9LU;
116546;Grey House Preparatory School;Mount Pleasant Road;Hartley Wintney;;Hook;Hampshire;RG27 8PW;
116547;Littlefield School;Midhurst Road;;;Liphook;Hampshire;GU30 7HT;
116548;Embley Park Junior School;Embley Park;;;Romsey;Hampshire;SO51 6ZA;
116549;Stanbridge Earls School;Stanbridge Lane;;;Romsey;Hampshire;SO51 0ZS;
116550;Daneshill School;Stratfield Turgis;;;Hook;Hampshire;RG27 0AR;1256882707
116551;West Hill Park School;West Hill Park;St Margarets Lane;Titchfield;Fareham;Hampshire;PO14 4BS;1329842356
116552;Prince's Mead School;Worthy Park House;Kings Worthy;Winchester;Hampshire;;SO21 1AN;1962888000
116553;Yateley Manor School;51 Reading Road;Yateley;;;;GU46 7UQ;1252405500
116554;Seafield School;Westlands Grove;Portchester;;Fareham;Hampshire;PO16 9AA;
116555;Hurst Lodge School;Yateley Hall;Firgrove Road;Yateley;Camberley;Hampshire;GU46 6HJ;1252227002
116556;Glenhurst School;16 Beechworth Road;;;Havant;Hampshire;PO9 1AX;
116557;Fairlands Nursery & Pre School;Church Road;Shedfield;;Southampton;Hampshire;SO32 2HY;
116558;Boundary Oak School;Roche Court;Wickham Road;;Fareham;Hampshire;PO17 5BL;1329280955
116559;Moyles Court School;Moyles Court;;;Ringwood;Hampshire;BH24 3NF;1425472856
116560;Avonlea School;8 Broadshard Lane;;;Ringwood;Hampshire;BH24 1RR;
116561;Inhurst House School;Brimpton Road;Baughurst;;Tadley;Hampshire;RG26 5JJ;
116562;Stockton House School;Stockton Avenue;;;Fleet;Hampshire;GU51 4NS;
116563;Meoncross School;65 Burnt House Lane;Fareham;Hampshire;;;PO14 2EF;1329662182
116564;Southlands School;Vicars Hill;Boldre;;Lymington;Hampshire;SO41 5QB;1590675350
116565;Hill House School;Rope Hill;Boldre;;Lymington;Hampshire;SO41 8NE;1590672147
116566;Hampshire Collegiate School Atherley;Grove Place;Upton Lane;Nursling;Southampton;Hampshire;SO16 0AB;
116574;Brockwood Park School;Brockwood Park;;Bramdean;Alresford;Hampshire;SO24 0LQ;1962771744
116575;Ditcham Park School;Ditcham Park;;;Petersfield;Hampshire;GU31 5RN;1730825659
116576;Hill Head Pre-Preparatory School;51 Crofton Lane;Hill Head;;Fareham;Hampshire;PO14 3LW;
116577;Rushmoor Independent Grammar School;40 Reading Road;;;Farnborough;Hampshire;GU14 6NB;
